	text
39	We Did The Math And The iShares Russell Top 200 Growth ETF Can Go To $87 https://t.co/dmgB7FJb2t
40	We Did The Math And The iShares Russell Top 200 Growth ETF Can Go To $87 https://t.co/qz97mWlCF6
41	Highland Capital Management LLC Has $1.20 Million Holdings in iShares Russell Mid-Cap Value ETF (IWS)  https://t.co/9wlo0VD49h
42	Investors Sell Shares of iShares Russell 2000 ETF $IWM on Strength $IWM https://t.co/q7xL8i9k3W
43	How The Parts Add Up: The iShares Russell 1000 Growth ETF Headed For $159 https://t.co/LpeNSIYS7m
44	How The Parts Add Up: The iShares Russell 1000 Growth ETF Headed For $159 https://t.co/nwzpUT7LBP
45	"RT @ntfri: $IWM iShares Russell 2000 ETF https://t.co/1ZsUMHkuQP
Support      144.50   144.25   142.90   142.50   142.50   142.22
Resistanc…"
46	iShares Russell 1000 Growth Index (IWF) Shares Sold by Marquette Asset Management LLC  https://t.co/OPRndICKGY
47	Highland Capital Management LLC Reduces Position in iShares Russell 2000 Growth ETF $IWO https://t.co/qZsApYkXeU
48	Highland Capital Management LLC Reduces Position in iShares Russell 3000 Value Index $IUSV https://t.co/1G1klMti54
49	iShares Russell 1000 Value Index $IWD Short Interest Up 79.7% in December https://t.co/P9MAQYOScC
50	iShares Russell 1000 Value Index $IWD Sees Significant Increase in Short Interest https://t.co/1KmxrBjWLO
51	"$IWM iShares Russell 2000 ETF https://t.co/1ZsUMHkuQP
Support      144.50   144.25   142.90   142.50   142.50   142… https://t.co/joeW7KCo6Z"
52	Steward Partners Investment Advisory LLC Buys 309,658 Shares of iShares Russell Mid-Cap ETF (IWR)  https://t.co/rU3WEgCdxB
53	Traders Buy Shares of iShares Russell 2000 Growth ETF $IWO on Weakness https://t.co/iGUgcjy2jC
54	Investors Buy Shares of iShares Russell 2000 Growth ETF $IWO on Weakness https://t.co/j5yy6vsGPt
55	Should iShares Russell Top 200 Value ETF (IWX) Be on Your Investing Radar? https://t.co/q8a4NeVZYT https://t.co/kCC34GvqdU
